"rok","odvetvi","prumerna_mzda"
2018,Administrativní a podpůrné činnosti,20166
2018,Činnosti v oblasti nemovitostí,27060
2018,Doprava a skladování,29136
2018,Informační a komunikační činnosti,55475
2018,"Kulturní, zábavní a rekreační činnosti",26762
2018,Ostatní činnosti,21250
2018,Peněžnictví a pojišťovnictví,53340
2018,"Profesní, vědecké a technické činnosti",37163
2018,Stavebnictví,27822
2018,Těžba a dobývání,35943
2018,"Ubytování, stravování a pohostinství",18270
2018,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,28834
2018,Veřejná správa a obrana; povinné sociální zabezpečení,35715
2018,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",45983
2018,Vzdělávání,28048
2018,Zásobování vodou; činnosti související s odpady a sanacemi,28272
2018,Zdravotní a sociální péče,31630
2018,"Zemědělství, lesnictví, rybářství",25115
2018,Zpracovatelský průmysl,31646
